options,'options'," ""option's""", 'potions', 'option', 'opt ions', 'opt-ions', 'portions'," ""potion's""", 'adoptions'," ""portion's"""," ""adoption's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lines,'lines', 'liens'," ""line's""", 'liners', 'linens', 'kines', 'limes', 'lined', 'Ines', 'lies', 'line'," ""Lin's""", 'Linus', 'lanes', 'lings'," ""liner's""", 'lingers', 'lioness', 'loners', 'lens', 'lions', 'loins', 'liner', 'links', 'lints', 'Hines', 'dines', 'fines'," ""lien's""", 'likes', 'linen', 'lives', 'mines', 'nines', 'pines', 'sines', 'tines', 'vines', 'wines', 'zines', 'lingoes'," ""Lane's"""," ""Lina's"""," ""Lon's"""," ""lane's"""," ""ling's"""," ""lion's"""," ""loin's"""," ""loner's"""," ""LAN's"""," ""Len's"""," ""lime's"""," ""Lie's"""," ""Luna's"""," ""Lynne's"""," ""lie's"""," ""Aline's"""," ""Cline's"""," ""Kline's"""," ""linen's"""," ""Lind's"""," ""link's"""," ""lint's"""," ""Linus's"""," ""fine's"""," ""life's"""," ""like's"""," ""lingo's"""," ""mine's"""," ""nine's"""," ""pine's"""," ""sine's"""," ""tine's"""," ""vine's"""," ""wine's"""," ""Lana's"""," ""Lena's"""," ""Leno's"""," ""Lynn's"""," ""lens's""",,,,,,,,,,,,,,,,,,,,
get,'get', 'GTE', 'Ger', 'gent', 'gets', 'gt', 'ET', 'GE', 'Ge', 'GED', 'git', 'got', 'gut', 'jet', 'gate', 'gite', 'Getty', 'girt', 'GMT', 'Geo', 'gee', 'Gen', 'PET', 'Set', 'Tet', 'bet', 'gel', 'gem', 'gen', 'let', 'met', 'net', 'pet', 'set', 'vet', 'wet', 'yet', 'GATT', 'cwt', 'gait', 'geed', 'ghat', 'goat', 'gout', 'CT', 'Ct', 'Gd', 'ct', 'kt', 'qt', 'God', 'Jed', 'Kit', 'QED', 'cat', 'cot', 'cut', 'gad', 'god', 'jot', 'jut', 'kit'," ""GE's"""," ""Ge's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remotetx,'remotes'," ""remote's""", 'remitted', 'motets', 'Semtex', 'retorts', 'remodels', 'remounts'," ""motet's""", 'remits', 'remelts'," ""retort's"""," ""remount's""", 'ramjets'," ""ramjet's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replies,'replies', 'replied', 'relies', 'reapplies', 'repulse', 'replays'," ""reply's""", 're plies', 're-plies', 'rep lies', 'rep-lies', 'reptiles', 'repels', 'repines', 'plies', 'realise', 'replace', 'ripples', 'refiles', 'reprise', 'reviles', 'replaces', 'repletes', 'replicas', 'repulses'," ""replay's"""," ""reptile's"""," ""ripple's"""," ""repulse's"""," ""Ripley's"""," ""replica's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uninterruptibly,'uninterruptible', 'uninterruptedly',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributed,'distributed', 'distributes', 'distribute', 'redistributed', 'distributor',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hosting,'hosting', 'hoisting', 'hosing', 'hasting', 'heisting', 'ghosting', 'hooting', 'hotting', 'costing', 'posting',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compositions,'compositions'," ""composition's""", 'composition', 'com positions', 'com-positions', 'impositions', 'competitions'," ""imposition's"""," ""decomposition's"""," ""competition's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segmented,'segmented', 'segment ed', 'segment-ed', 'segments', 'segment', 'augmented', 'regimented'," ""segment's""", 'cemented', 'pigmented',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corrected,'corrected', 'correcter', 'correct ed', 'correct-ed', 'correctest', 'corrects', 'correct', 'correlated', 'corrugated', 'corrector', 'collected', 'connected', 'correctly', 'corrupted', 'corrective', 'created',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sdf,'SD', 'SF', 'sf', 'SDI', 'PDF', 'SPF', 'staff', 'stiff', 'stuff', 'Sid', 'def', 'sad', 'sod', 'STD', 'std', 'sift', 'soft', 'SST', 'Sade', 'Sufi', 'safe', 'serf', 'side', 'soda', 'sofa', 'surf', 'SIDS', 'Sadr', 'self', 'sods', 'suds', 'ST', 'St', 'st', 'SAT', 'SUV', 'Sat', 'Set', 'Sta', 'Ste', 'Stu', 'sat', 'set', 'sit', 'sot', 'sty'," ""Sid's"""," ""sod's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set2,Set's," ""set's""", 'Set', 'set', 'sett', 'Ste', 'seat', 'suet', 'sets', 'Seth', 'ST', 'St', 'st', 'stew', 'SEATO', 'suety', 'SAT', 'SST', 'Sat', 'Sta', 'Stu', 'sat', 'sit', 'sot', 'sty', 'sate', 'site', 'Soto', 'seed', 'zeta', 'sort', 'EST', 'est', 'Sept', 'sect', 'sent', 'stet'," ""SE's"""," ""Se's""", 'SE', 'Se', 'cert', 'soot', 'sued', 'suit', 'ET', 'SD', 'Sgt', 'sea', 'see', 'sew', 'PET', 'SEC', 'Sec', 'Sen', 'Sep', 'Tet', 'bet', 'get', 'jet', 'let', 'met', 'net', 'pet', 'sec', 'sen', 'seq', 'vet', 'wet', 'yet', 'SDI', 'Sid', 'cit', 'sad', 'sod', 'zed', 'zit',,,,,,,,,,,,,,,,,,,,,,,
get2,'get', 'GTE', 'gets', 'gt', 'Getty', 'GED', 'git', 'got', 'gut', 'jet', 'gate', 'gite', 'GATT', 'geed', 'girt', 'Ger', 'gent'," ""GE's"""," ""Ge's""", 'GE', 'Ge', 'cwt', 'gait', 'ghat', 'goat', 'gout', 'ET', 'CT', 'Ct', 'Gd', 'ct', 'kt', 'qt', 'GMT', 'Geo', 'gee', 'Gen', 'PET', 'Set', 'Tet', 'bet', 'gel', 'gem', 'gen', 'let', 'met', 'net', 'pet', 'set', 'vet', 'wet', 'yet', 'God', 'Jed', 'Kit', 'QED', 'cat', 'cot', 'cut', 'gad', 'god', 'jot', 'jut', 'kit',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mserver,'server', 'Mercer', 'mercer', 'serve', 'sever', 'soever', 'moreover', 'Mesmer', 'timeserver', 'messier', 'mover', 'saver', 'servo',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shutdown,'shutdown', 'shutdowns', 'shut down', 'shut-down'," ""shutdown's""", 'showdown', 'shakedown', 'shutout', 'Sheldon', 'letdown',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delegating,'delegating', 'relegating', 'delegation', 'deleting', 'delighting', 'defecating', 'derogating', 'delineating', 'deflecting', 'delegate', 'deluging', 'dilating', 'ligating',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delegatefs,'delegates'," ""delegate's"""," ""Delgado's""", 'tollgates'," ""tollgate's""", 'telegraphs', 'tailgates', 'telegraphers'," ""tailgate's""", 'tailgaters', 'delicateness'," ""telegraph's"""," ""telegrapher's"""," ""tailgater's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kettlevfs,'kettles'," ""kettle's""", 'televise'," ""cattle's"""," ""Kislev's""", 'delves', 'kelvins', 'clefs', 'cuttlefish', 'delvers', 'devolves', 'clevis', 'cutlers', 'gutless', 'cutlets'," ""meatloaf's"""," ""clef's"""," ""cutler's"""," ""Kotlin's"""," ""cutlet's"""," ""Kelvin's"""," ""kelvin's"""," ""Katelyn's"""," ""delver's"""," ""Karloff's"""," ""cuttlefish's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opts,options, 'pots', 'ops', 'opt', 'oats'," ""op's""", 'opes', 'opus', 'outs', 'Potts', 'op ts', 'op-ts', 'pits', 'poets', 'ports'," ""pot's""", 'pouts', 'opiates', 'Otis'," ""Pt's""", 'its', 'pats', 'pets', 'puts', 'spots', 'oops', 'optics', 'pods', 'Oates'," ""oat's"""," ""out's"""," ""Oct's""", 'Ats', 'ODs', 'UPS', 'apt', 'ups'," ""Port's""", 'adopts'," ""pit's"""," ""poet's"""," ""port's"""," ""pout's"""," ""Oort's"""," ""AP's"""," ""OD's"""," ""PET's"""," ""Pat's"""," ""iPod's"""," ""it's"""," ""pat's"""," ""pet's"""," ""put's"""," ""spot's"""," ""pod's"""," ""opiate's"""," ""PTA's"""," ""ATP's"""," ""At's"""," ""Pd's"""," ""UT's"""," ""optic's"""," ""Otto's"""," ""oats's"""," ""opus's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vfs,virtual file system, 'vs'," ""V's""", 'VFW', 'VHS', 'ifs'," ""VFW's"""," ""VHF's"""," ""VLF's"""," ""Cf's"""," ""VD's"""," ""F's""", 'CVS', 'IVs', 'RVs', 'TVs'," ""VI's"""," ""Va's""", 'Visa', 'vars', 'vase', 'vies', 'visa', 'vise', 'vows'," ""HF's"""," ""Hf's"""," ""Rf's"""," ""if's""", 'vivas', 'Yves'," ""Av's"""," ""IV's"""," ""RV's"""," ""TV's"""," ""UV's""", 'waifs', 'waves', 'wives', 'woofs'," ""Fe's"""," ""fa's"""," ""vow's"""," ""viva's"""," ""waif's"""," ""wave's"""," ""wife's"""," ""woof's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cclient,'client', 'Clint', 'clients', 'glint', 'salient', 'Cline', 'cloned', 'Lent'," ""client's""", 'clit', 'lent', 'lint', 'silent', 'Clement', 'clement', 'Colin', 'cleat', 'cling'," ""Clint's"""," ""Cline's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connect,'connect', 'connects', 'connector', 'connected', 'conned', 'cornet', 'reconnect',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxretries,'max retries', 'max-retries', 'axletrees', 'mixtures', 'majorettes', 'majesties', 'secretaries', 'mysteries', 'macerates', 'majorities'," ""axletree's"""," ""mixture's""", 'Castries', 'maestros'," ""majorette's""", 'monasteries'," ""maestro's"""," ""Maserati's""", 'micrometres'," ""Magritte's""", 'ministries'," ""Marguerite's"""," ""marquetry's"""," ""mastery's"""," ""micrometre's"""," ""Castries's"""," ""Margaret's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retryinterval,'retry interval', 'retry-interval', 'retentively', 'retroactively',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graphson,'graph son', 'graph-son', 'graphs on', 'graphs-on', 'graphs', 'graphing'," ""graph's""", 'Garrison', 'garrison', 'Grafton', 'grassing', 'gravestone', 'Graves', 'graven', 'graves'," ""grave's"""," ""gravy's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokens,'tokens'," ""token's""", 'token', 'tokes'," ""toke's""", 'to kens', 'to-kens', 'tokenism', 'tones', 'towns', 'Townes', 'kens', 'tens', 'tonnes', 'tons', 'taken', 'takes', 'teens', 'tykes', 'betokens'," ""Tolkien's"""," ""take's"""," ""tone's"""," ""tyke's"""," ""town's"""," ""Ken's"""," ""ken's"""," ""ten's"""," ""ton's"""," ""teen's"""," ""tonne's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typelist,'type list', 'type-list', 'typist', 'typecast', 'typeset', 'duelist', 'timeliest', 'tuples', 'titlist', 'populist', 'Tilsit', 'tallest', 'topless',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ix,investigation, 'ox', 'xi', 'I', 'i', 'IQ', 'ax', 'ex', 'X', 'x', 'ICC', 'ICU', 'IRC', 'IA', 'IE', 'Ia', 'Io', 'Ir', 'ii', 'ID', 'IL', 'IN', 'IP', 'IT', 'IV', 'In', 'It', 'PX', 'Rx', 'TX', 'bx', 'id', 'if', 'in', 'is', 'it', 'iv', 'xx', 'AC', 'Ac', 'EC', 'Ike', 'OJ', 'OK', 'UK', 'ac', 'irk', 'Dix', 'fix', 'lix', 'mix', 'nix', 'pix', 'six', 'xix', 'oik', 'AK', 'Ag'," ""I'd"""," ""I'm"""," ""I's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typemap,'type map', 'type-map', 'temp', 'tramp', 'Tempe', 'tempo', 'Tampa', 'tromp', 'pimp', 'pomp', 'pump', 'Trump', 'trump', 'decamp', 'tiptop', 'temper',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
converted,'converted', 'concerted', 'converter', 'converged', 'conversed', 'convert ed', 'convert-ed', 'converters', 'converts', 'conveyed', 'inverted', 'convert', 'coveted', 'conceited', 'conferred'," ""convert's""", 'convened', 'reconverted', 'confuted'," ""converter's""", 'convicted', 'connected', 'consorted', 'contorted',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discontinuity,'discontinuity', 'dis continuity', 'dis-continuity'," ""discontinuity's""", 'discontinued', 'discontinuing', 'discontinue', 'discontinuities', 'discontinues',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reasoninternal,'reason internal', 'reason-internal', 'resonantly', 'resonant', 'resoundingly', 'resonating', 'resiliently', 'respondent', 'centennial', 'resounding', 'resenting', 'resentful', 'rescinding',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libraries,'libraries'," ""library's""", 'librarians', 'librarian', 'liberates', 'liberalise', 'Libras'," ""Libra's"""," ""librarian's""", 'library'," ""Liberace's"""," ""Liberia's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flagsystem,'flag system', 'flag-system', 'flagstone', 'ecosystem', 'falsest', 'flagstaff', 'flakiest', 'flextime'," ""flax's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated,'updated', 'updates', 'update', 'updater', 'undated', 'up dated', 'up-dated'," ""update's""", 'outdated',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitn,'bin', 'bit', 'biotin', 'biting', 'bitten', 'bite', 'bits', 'Biden', 'baton', 'bating', 'Burton', 'baiting', 'botany', 'butane', 'button', 'bunt', 'bi tn', 'bi-tn', 'Briton', 'bairn', 'bittern', 'tin', 'bind', 'Barton', 'Beeton', 'bait', 'batten', 'beaten', 'biding', 'bot', 'bun', 'but', 'bent', 'BITNET', 'TN', 'tn', 'biter', 'bitty', 'Bataan', 'bidden'," ""bit's""", 'BTU', 'BTW', 'Ben', 'Btu', 'ban', 'bat', 'bet', 'bid', 'din',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitm,'bit', 'bite', 'bits', 'bottom', 'brim', 'Tim', 'Vitim', 'bedim', 'bait', 'bot', 'bum', 'but', 'item', 'BM', 'TM', 'Tm', 'bitmap', 'Bird', 'bdrm', 'berm', 'bird', 'biter', 'bitty', 'boom', 'butt', 'baits'," ""bit's""", 'bites', 'bots', 'buts', 'BTU', 'BTW', 'Btu', 'bat', 'bet', 'bid', 'dim', 'ATM', 'bpm', 'Batu', 'Baum', 'Diem', 'bate', 'beam', 'beta', 'bide', 'byte', 'diam', 'balm', 'bats', 'bets', 'bids'," ""bait's"""," ""bite's"""," ""bat's"""," ""bet's"""," ""bid's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serializer,'serialize', 'serialized', 'serializes', 'serialise', 'sterilizer', 'serialised', 'serialises',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain,'domain', 'domains', 'doming', 'domino', 'Damian', 'Damien', 'Damion', 'Damon', 'do main', 'do-main', 'dooming', 'doorman', 'damn', 'Omani', 'Domingo', 'Deming', 'demean'," ""domain's""", 'main', 'Dorian', 'Oman',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fns,'fans', 'fens', 'fins', 'FMs', 'NS'," ""fan's"""," ""fen's"""," ""fin's""", 'fines', 'finis'," ""fun's"""," ""F's""", 'CNS', 'INS', 'ans', 'ens', 'fps', 'ins', 'Finns', 'fauns', 'fawns', 'ferns'," ""FM's"""," ""Fern's"""," ""Finn's"""," ""Fm's"""," ""faun's"""," ""fawn's"""," ""fern's"""," ""fine's"""," ""N's"""," ""Fe's"""," ""fa's"""," ""Fr's"""," ""In's"""," ""Mn's"""," ""RN's"""," ""Rn's"""," ""Sn's"""," ""UN's"""," ""Zn's"""," ""en's"""," ""in's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geturi,'gesture', 'getup', 'Teri', 'Qatari', 'guru', 'Arturo', 'Terri', 'feature', 'get', 'goitre', 'hetero', 'uteri', 'Gentry', 'Gerry', 'Getty', 'Jerri', 'Kerri', 'gentry', 'ctr', 'metro', 'retro', 'Gere', 'Jeri', 'Keri', 'Gerard', 'gets', 'lecture', 'Genaro', 'Guthrie', 'future', 'retire', 'coterie', 'gator', 'gourd', 'Atari', 'Gatun', 'Petra', 'genre', 'metre', 'retry', 'tetra', 'couture', 'gators', 'genera', 'mature', 'nature', 'satori', 'suture'," ""Getty's"""," ""gator's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emptystring,'empty string', 'empty-string', 'amputating', 'emptiest', 'pedestrian', 'imposture', 'impostures'," ""imposture's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefixes,'prefixes', 'prefixed'," ""prefix's""", 'premixes', 'prefix es', 'prefix-es', 'prefix', 'prefaces'," ""preface's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localns,'locals'," ""local's""", 'locales'," ""locale's""", 'localise', 'clans', 'Lincolns'," ""Logan's""", 'localises', 'localizes', 'locations', 'localize'," ""clan's""", 'legals', 'logins', 'logons'," ""Lockean's"""," ""Lincoln's"""," ""Golan's"""," ""legal's"""," ""location's"""," ""Laocoon's"""," ""login's"""," ""logon's"""," ""locality's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
documents,'documents'," ""document's""", 'document', 'documented', 'documentary', 'comments', 'documenting', 'decrements', 'torments'," ""documentary's"""," ""comment's"""," ""torment's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monitor,'monitor', 'monitors', 'monitory', 'mentor', 'Monte', 'mintier', 'mounter', 'Mont', 'minter'," ""monitor's""", 'motor', 'Monet', 'Monty',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,'top', 'tip', 'topi', 'too', 'tops', 'op', 'to', 'Twp', 'tap', 'twp', 'typo', 'atop', 'stop', 'toe', 'tor', 'tow', 'toy', 'tsp', 'GOP', 'SOP', 'Tod', 'Tom', 'bop', 'cop', 'fop', 'hop', 'lop', 'mop', 'pop', 'sop', 'tog', 'tom', 'ton', 'tot', 'wop', 'topee', 'TARP', 'Tupi', 'dip', 'dopa', 'dope', 'tape', 'tarp', 'type', 'DP'," ""top's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bad,'bad', 'bade', 'bard', 'baud', 'bawd', 'bead', 'BSD', 'Brad', 'bald', 'band', 'brad', 'AD', 'BA', 'Ba', 'ad', 'Bud', 'bat', 'bed', 'bid', 'bod', 'bud', 'Baidu', 'Beard', 'baaed', 'bawdy', 'beady', 'beard', 'board', 'baa', 'bah', 'bar', 'bay', 'CAD', 'Tad', 'bag', 'ban', 'bap', 'cad', 'dad', 'fad', 'gad', 'had', 'lad', 'mad', 'pad', 'rad', 'sad', 'tad', 'wad', 'Baird', 'Bart', 'Batu', 'Bede', 'Bird', 'Boyd', 'baht', 'bait', 'bate', 'beat', 'bide', 'bird', 'boat', 'bode', 'body', 'BTU', 'BTW', 'Btu', 'bet', 'bit', 'bot', 'but'," ""BA's"""," ""Ba's"""," ""bad's""",,,,,,,,,,,,,,,,,,,,,,,,,,
monitors,'monitors'," ""monitor's""", 'monitor', 'monitory', 'mentors', 'mounters', 'minters', 'mantoes'," ""mentor's""", 'motors'," ""Mont's""", 'bonitos'," ""Monet's"""," ""Monte's"""," ""Monty's"""," ""mounter's""", 'monsters'," ""bonito's"""," ""minter's"""," ""motor's"""," ""monster's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe,'safe', 'safer', 'safes', 'Sade', 'sage', 'save', 'SASE', 'cafe', 'sake', 'sale', 'same', 'sane', 'sate', 'SF', 'sf', 'Soave', 'saver', 'suave', 'sofa', 'Sufi'," ""safe's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb,'BB', 'BBC', 'BBQ', 'BBS', 'Bib', 'Bob', 'NB', 'Nb', 'bbl', 'bib', 'bob', 'bub', 'vb', 'B', 'b', 'BBB', 'BA', 'BO', 'Ba', 'Be', 'Bi', 'Yb', 'be', 'bi', 'bu', 'by', 'ebb', 'AB', 'BC', 'BM', 'BP', 'BR', 'BS', 'Bk', 'Br', 'CB', 'Cb', 'GB', 'KB', 'Kb', 'MB', 'Mb', 'OB', 'Ob', 'Pb', 'QB', 'Rb', 'Sb', 'TB', 'Tb', 'ab', 'bf', 'bk', 'bl', 'bx', 'dB', 'db', 'lb', 'ob', 'tb', 'BIA', 'baa', 'bah', 'bar', 'bay', 'bee', 'bey', 'bio', 'boa', 'boo', 'bow', 'boy', 'bur', 'buy'," ""BB's"""," ""B's""",,,,,,,,,,,,,,,,,,,,,,,,
containing,'containing', 'continuing', 'condoning', 'confining', 'contemning', 'curtaining', 'captaining', 'conjoining', 'contain', 'contending', 'contenting', 'cottoning', 'contusing', 'contains', 'maintaining', 'Continent', 'container', 'continent', 'contained', 'convening', 'condemning',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bci,'Bic', 'BC', 'Bi', 'Ci', 'bi', 'bis', 'biz', 'sci', 'MCI', 'xci', 'BS'," ""B's""", 'BBS', 'BSA', 'bus', 'BIOS', 'bios', 'BIA', 'BO', 'Basie', 'bio', 'bu', 'cir', 'xi'," ""Bi's""", 'Bib'," ""bi's""", 'bias', 'bib', 'bid', 'big', 'bin', 'bit', 'B', 'CBS', 'b', 'BBC'," ""BC's""", 'Boise', 'baize', 'BA'," ""BA's""", 'BB'," ""BS's""", 'Ba'," ""Ba's""", 'Be'," ""Be's""", 'Ce', 'Si', 'be', 'by'," ""by's"""," ""BB's"""," ""Yb's"""," ""bio's"""," ""Bic's"""," ""Ci's"""," ""BBC's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allcts,'allots', 'allocates', 'elects', 'Acts', 'acts', 'alts', 'alkyds'," ""elect's"""," ""Alec's""", 'Aleuts', 'alerts', 'mulcts'," ""Alcott's""", 'lolcats'," ""act's""", 'altos', 'Analects', 'afflicts', 'allocate', 'Alcott'," ""alkyd's"""," ""Aleut's"""," ""alert's"""," ""mulct's"""," ""lolcat's""", 'eaglets'," ""Alta's"""," ""alto's"""," ""Acts's"""," ""LCD's"""," ""Oct's"""," ""Alcoa's"""," ""eaglet's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symlinks,'slinks', 'Smolensk', 'Somalians'," ""Slinky's"""," ""Somalian's""", 'seemliness'," ""semolina's"""," ""Smolensk's"""," ""slang's""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
